251027,0.9884
251028,0.9886
251035,1.0000
251045,1.0000
251053,1.0000
251055,1.0000
251059,1.0000
251131,0.9885
251134,0.9881
251143,0.9885
251147,0.9886
251149,0.9884
251150,0.9887
251153,0.9908
251155,0.9908
251156,1.0000
251160,1.0000
251162,1.0000
251163,1.0000
251164,1.0000
251167,1.0000
251168,1.0000
251171,1.0000
251173,1.0000
251175,1.0000
251179,1.0000
251181,1.0000
251193,1.0000
251194,1.0000
251196,1.0000
251198,1.0000
251244,0.9929
251250,0.9884
251251,0.9883
251252,0.9881
251263,1.0000
251264,1.0000
251265,1.0000
251266,1.0000
251270,1.0000
251277,1.0000
251286,1.0000
251386,1.0000
251392,1.0000
251406,1.0000
251496,0.9843
251497,0.9843
251498,0.9841
251499,0.9842
251500,0.9840
251503,1.0000
251521,0.9950
251522,0.9971
251527,1.0000
251528,1.0000
251529,1.0000
251544,1.0000
251548,0.9843
251550,0.9943
251551,1.0000
251555,1.0000
251559,1.0000
251560,0.9985
251561,0.9844
251562,0.9843
251569,0.9960
251571,1.0000
251572,1.0000
251576,1.0000
251584,1.0000
251585,1.0000
251606,1.0000
251618,1.0000
251619,1.0000
251638,0.9784
251642,0.9831
251643,0.9783
251656,0.9930
251657,1.0000
251664,1.0000
251667,1.0000
251671,1.0000
251701,1.0000
251702,1.0000
251703,1.0000
251704,1.0000
251721,0.9774
251768,1.0000
251769,1.0000
251770,1.0000
251781,1.0000
251783,1.0000
251784,1.0000
251785,1.0000
251787,1.0000
251788,1.0000
251789,1.0000
251790,1.0000
251791,1.0000
251792,1.0000
251868,1.0000
251869,1.0000
251871,1.0000
251876,1.0000
251883,0.9844
251885,0.9961
251886,1.0000
251887,1.0000
251889,1.0000
251897,1.0000
251898,1.0000
251902,1.0000
251907,1.0000
251930,1.0000
251939,1.0000
251941,1.0000
251942,1.0000
251944,1.0000
251946,1.0000
252029,1.0000
252037,1.0000
252039,1.0000
252045,1.0000
252059,1.0000
252062,1.0000
252072,1.0000
252082,1.0000
252089,1.0000
252090,1.0000
252110,1.0000
252116,0.9807
252126,0.9807
252129,1.0000
252130,1.0000
252132,1.0000
252133,1.0000
252134,1.0000
252135,1.0000
252152,1.0000
